Last,First,Team,rushAtt,rushYards,100 yd,rushTD,Rec,recYards,100 yd,recTD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Givens,Chris,StL/9,0,0,0,0,9,108,0,0,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0,0,0,0,0,0,20,268,23,1,GiveCh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Graham,TJ,Buf/8,1,3,0,0,11,133,0,0,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0,0,0,0,0,0,25,9999,23,1,GrahTJ00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Green,A.J.,Cin/8,5,35,0,0,73,1095,3,8,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.99,1.6,1.12,1.52,1.12,1.65,234,29,24,2,GreeA.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hankerson,Leonard,Was/10,0,0,0,0,31,397,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,83,179,24,2,HankLe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hartline,Brian,Mia/7,1,5,0,0,45,675,1,4,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.5,0.8,0.56,0.76,0.56,0.82,137,256,26,4,HartBr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Harvin,Percy,Min/11,36,234,0,2,78,936,2,6,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,1.45,0.2,0.13,0.04,0.06,0.13,1.24,1.86,1.34,0.83,0.31,0.41,243,42,24,4,HarvPe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Henderson,Devery,NO/6,2,12,0,0,35,508,0,4,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.83,1.24,0.9,0.55,0.21,0.28,111,255,30,9,HendDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hester,Devin,Chi/6,4,16,0,0,30,396,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,83,9999,30,7,HestDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Heyward-Bey,Darrius,Oak/5,3,15,0,0,61,915,2,5,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.62,1,0.7,0.95,0.7,1.03,184,107,25,4,HeywDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hill,Jason,Den/7,1,4,0,0,13,176,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.21,0.31,0.22,0.14,0.05,0.07,37,9999,27,6,HillJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hill,Stephen,NYJ/9,1,4,0,0,40,512,0,4,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.83,1.24,0.9,0.55,0.21,0.28,116,182,21,1,HillSt01,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1
Holmes,Santonio,NYJ/9,3,21,0,0,57,770,1,6,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.24,1.86,1.34,0.83,0.31,0.41,172,91,28,7,HolmSa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jackson,DeSean,Phi/7,7,49,0,1,63,1021,3,6,2,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0.73,0.1,0.06,0.02,0.03,0.06,0.74,1.2,0.84,1.14,0.84,1.24,212,61,26,5,JackDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jackson,Vincent,TB/5,3,21,0,0,65,1073,3,8,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.99,1.6,1.12,1.52,1.12,1.65,222,46,29,8,JackVi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
